"","store","depvar","week","price","price_dominicks","price_premium","price_national","display_dominicks","display_premium","display_national","display","iv","quarter"
"1",2,8.44934252449998,46,-3.00515149547048,-3.16934188974592,-3.09762658123533,-3.57666746350701,0,1,1,0,160.4,"Q3"
"2",2,9.91145572220004,47,-3.28758971741625,-3.42171901738295,-3.09762658123533,-3.18432344336154,1,0,1,1,160.8,"Q3"
"3",2,7.89655270159997,48,-3.00515149547048,-3.42171901738295,-2.99886216656292,-3.28758971741625,0,0,1,0,160.8,"Q3"
"4",2,8.00903068509998,50,-3.00515149547048,-3.42171901738295,-3.1328414875264,-3.47074844462327,0,1,1,0,160.8,"Q3"
"5",2,7.92008319910002,52,-3.00515149547048,-3.52230625428812,-3.1328414875264,-3.47074844462327,0,0,1,0,150.9,"Q3"
"6",2,10.1725982389999,53,-3.37498153953126,-3.52230625428812,-2.99886216656292,-3.47074844462327,0,0,1,1,150.9,"Q3"
"7",2,8.21932609390002,54,-3.00515149547048,-3.57666746350701,-2.99886216656292,-3.28758971741625,0,0,1,0,150.9,"Q3"
"8",2,10.330583681,57,-3.47074844462327,-3.16934188974592,-3.03071199245002,-3.47074844462327,0,0,1,1,147.2,"Q4"
"9",2,8.25322764560004,58,-3.06671945521329,-3.94377170374273,-3.06360969595708,-3.47074844462327,1,1,0,0,147.2,"Q4"
"10",2,7.94307271730001,59,-3.00515149547048,-3.69514906712753,-3.06360969595708,-3.47074844462327,0,0,1,0,147.2,"Q4"
"11",2,10.047761042,60,-3.47074844462327,-3.69514906712753,-3.06360969595708,-3.47074844462327,1,0,1,1,120.9,"Q4"
"12",2,8.12917499690002,61,-3.00515149547048,-3.90424086498609,-3.06360969595708,-3.47074844462327,0,1,1,0,120.9,"Q4"
"13",2,10.177476298,62,-3.47074844462327,-4.16893341921317,-3.06360969595708,-3.16934188974592,0,0,1,1,120.9,"Q4"
"14",2,8.7540029335,63,-3.47074844462327,-3.69514906712753,-3.06360969595708,-3.33033126579352,1,0,0,0,120.9,"Q4"
"15",2,9.20230820029997,64,-3.00515149547048,-3.24660037288306,-3.06360969595708,-3.47074844462327,1,0,1,0,120.9,"Q4"
"16",2,9.605620455,66,-3.47074844462327,-3.82957933621707,-3.16934188974592,-3.47074844462327,1,0,0,0,117.8,"Q4"
"17",2,8.74385056200001,68,-3.47074844462327,-3.16934188974592,-3.28758971741625,-3.63415455442469,0,0,1,0,117.8,"Q4"
"18",2,9.12172771360001,69,-3.47074844462327,-3.16934188974592,-3.52230625428812,-3.47074844462327,0,1,1,0,114.4,"Q1"
"19",2,8.33327035329998,70,-3.20722520764823,-4.16893341921317,-3.20722520764823,-3.24660037288306,1,0,1,0,114.4,"Q1"
"20",2,9.22778728560003,71,-3.20722520764823,-3.16934188974592,-3.20722520764823,-3.63415455442469,0,0,1,0,114.4,"Q1"
"21",2,10.276980281,72,-3.47074844462327,-3.16934188974592,-2.99886216656292,-3.63415455442469,0,0,1,1,114.4,"Q1"
"22",2,8.86841328469997,73,-3.20722520764823,-3.7601069634023,-2.99886216656292,-3.47074844462327,1,0,0,0,114.4,"Q1"
"23",2,8.92105701820002,74,-3.24660037288306,-3.7601069634023,-3.24660037288306,-3.47074844462327,0,0,1,0,114.4,"Q1"
"24",2,8.34853782539999,75,-3.24660037288306,-3.16934188974592,-3.16934188974592,-3.7601069634023,0,0,1,0,114.4,"Q1"
"25",2,9.10052550600004,76,-3.24660037288306,-3.16934188974592,-2.99886216656292,-3.7601069634023,0,0,1,0,114.4,"Q1"
"26",2,10.019669307,77,-3.47074844462327,-4.07270538711862,-2.99886216656292,-3.37498153953126,1,0,1,1,114.4,"Q1"
"27",2,8.25322764560004,78,-3.20722520764823,-4.07270538711862,-2.99886216656292,-3.57666746350701,1,0,0,0,111.7,"Q1"
"28",2,9.47208906240003,79,-3.20722520764823,-3.16934188974592,-2.99886216656292,-3.7601069634023,0,0,1,0,111.7,"Q1"
"29",2,11.158305551,80,-3.63415455442469,-3.16934188974592,-2.99886216656292,-3.37498153953126,0,0,1,1,111.7,"Q1"
"30",2,8.94637482609996,83,-3.42171901738295,-3.69514906712753,-3.47074844462327,-4.03666545063542,0,1,0,0,111.7,"Q2"
"31",2,8.7540029335,84,-3.42171901738295,-4.16893341921317,-2.99886216656292,-3.57666746350701,1,0,0,0,111.7,"Q2"
"32",2,9.0567228833,85,-3.42171901738295,-3.16934188974592,-3.47074844462327,-3.57666746350701,1,1,0,0,111.7,"Q2"
"33",2,9.62271488840001,86,-3.42171901738295,-3.16934188974592,-3.47074844462327,-3.7601069634023,0,1,0,0,111,"Q2"
"34",2,11.244784548,87,-3.82957933621707,-3.16934188974592,-3.20722520764823,-3.7601069634023,0,0,1,1,111,"Q2"
"35",2,8.52833093580003,88,-3.28758971741625,-3.16934188974592,-3.33033126579352,-3.7601069634023,0,1,1,0,111,"Q2"
"36",2,8.46294817659997,89,-3.28758971741625,-3.69514906712753,-2.99886216656292,-3.7601069634023,1,0,0,0,111,"Q2"
"37",2,8.40737832540001,90,-3.28758971741625,-3.69514906712753,-2.99886216656292,-4.03666545063542,0,0,1,0,111,"Q2"
"38",2,8.30201780980003,91,-3.28758971741625,-3.16934188974592,-3.47074844462327,-3.28758971741625,0,0,1,0,111,"Q2"
"39",2,9.60130079389996,92,-3.57666746350701,-3.7601069634023,-3.47074844462327,-3.57666746350701,1,1,1,1,111,"Q2"
"40",2,9.40063009839998,93,-3.28758971741625,-3.90424086498609,-3.06360969595708,-3.90424086498609,0,1,0,0,111,"Q2"
"41",2,10.640460213,94,-3.63415455442469,-3.47074844462327,-3.03071199245002,-3.28758971741625,0,0,1,1,111,"Q2"
"42",2,9.26482855730004,95,-3.63415455442469,-3.47074844462327,-3.47074844462327,-3.28758971741625,0,0,1,0,111,"Q3"
"43",2,8.34853782539999,97,-3.28758971741625,-3.69514906712753,-3.47074844462327,-3.47074844462327,0,0,1,0,111,"Q3"
"44",2,7.96554557310002,98,-3.28758971741625,-3.47074844462327,-3.07122293934197,-3.47074844462327,0,1,1,0,111,"Q3"
"45",2,8.28601746839997,99,-3.28758971741625,-4.16893341921317,-3.37498153953126,-3.47074844462327,1,0,1,0,107.2,"Q3"
"46",2,8.21932609390002,100,-3.28758971741625,-4.16893341921317,-3.37498153953126,-3.52230625428812,0,0,0,0,107.2,"Q3"
"47",2,7.94307271730001,103,-3.28758971741625,-3.82957933621707,-3.10457105358814,-3.47074844462327,0,0,1,0,107.2,"Q3"
